Accession,CSPA #e
P08473,29
P16144,5
P11279,38
P13473,35
O75326,21
Q6YHK3,37
Q15223,38
P15260,30
P40189,28
Q04912,14
P07204,6
P13726,29
P35613,47
Q12913,40
P15151,27
P78536,27
O14672,42
Q13740,41
P32004,26
Q9UNN8,26
O60449,26
Q96F46,23
Q13478,11
P08069,38
P08582,15
P04156,46
P50895,25
Q9NZQ7,21
O75144,21
Q5ZPR3,36
P05556,45
P54709,45
O14786,27
P16284,14
Q9UHX3,29
Q969P0,36
Q10589,34
Q9H5V8,12
Q9Y624,12
P12830,3
P19022,27
P16422,4
P04626,14
Q8WTV0,31
P25942,25
P16070,42
Q08722,44
P09326,15
P56199,32
P17301,31
P26006,38
P08648,38
P23229,30
P06756,42
P05362,41
P08174,40
P19256,40
P13987,45
P08962,42
P02786,38
P21589,30
Q01151,15
Q03405,27
Q8WWI5,13
P25445,24
P48960,42
P08195,46
Q08334,16
O95297,46
Q9Y639,46
Q99808,45
Q4KMQ2,45
Q9HD45,44
Q15043,42
P11166,42
Q13433,41
Q9UIW2,41
P42892,40
P05026,40
O15031,40
Q9UIQ6,39
Q92859,36
Q6P4Q7,35
Q9Y6M7,34
Q92542,33
O00478,33
Q7KYR7,33
Q29983,32
Q9ULF5,32
P17181,32
Q96HA4,32
Q8N8Z6,32
O95136,31
P30450,30
Q9UMF0,29
Q9H6X2,29
O75882,29
P29323,28
P35052,28
P10586,28
Q8N766,28
Q9H2H9,28
P00533,27
Q14126,27
Q13641,27
Q96J84,27
Q8NBN3,27
P29317,26
P36941,26
Q96NT5,26
Q14118,25
O43157,25
Q9Y4D7,25
Q99523,25
Q9C0H2,24
O75054,24
P69849,23
Q9H6B4,22
P30530,22
Q13444,21
P18084,20
Q7Z6M3,20
Q06481,20
Q8NFZ8,20
P01891,19
O60462,18
Q99650,18
O75976,18
P08581,18
Q96PD2,18
Q15262,17
P54760,17
O95490,17
Q86SQ4,16
Q5R3F8,16
Q6UXD5,16
Q9NPH3,16
Q8IWK6,15
P09603,15
Q13873,15
Q14542,15
Q9Y653,15
Q9UIG8,15
Q9BZR6,15
Q8TCT8,15
Q9NPR2,14
Q96BD0,14
Q9NYQ6,13
P05023,12
P52803,12
Q9UGT4,12
P31641,11
O43194,11
P37173,11
O60487,11
P13746,11
P04439,10
Q29980,10
O14494,10
Q6UWB1,10
P46531,10
P34925,10
P15328,9
P0C7U0,9
O95497,8
Q9HCU4,8
Q9HCN3,8
A1A5B4,8
P01889,8
P51148,7
P30511,7
Q01974,7
P21860,7
O95274,7
P52799,6
P21583,6
O95498,6
P30459,6
Q01973,5
P27037,5
Q687X5,5
Q8WXI7,5
Q9H228,5
Q02487,4
O75197,4
Q04721,4
O75509,4
Q9BZM5,4
P30462,4
P43119,3
P05187,3
P09758,3
Q96PQ0,3
Q86VZ4,3
Q5T601,3
Q9HB29,2
P21709,2
P18564,2
Q99102,2
Q8N271,2
P16188,1
P22223,1
P20645,42
P15529,37
P27824,31
Q08380,31
Q9P2B2,30
P11717,30
Q15904,30
Q92508,29
P04843,29
Q92896,29
P11047,29
P07942,28
Q9BVK6,28
Q8TEM1,24
Q6EMK4,23
O43852,22
P02675,21
P24821,21
P10646,20
P12259,19
P61978,19
P04004,19
P00749,19
P98160,18
P27797,18
O15118,17
O15230,17
Q8TB96,17
P04844,15
P67809,15
O75094,9
P36955,6
P01009,6
Q16787,5
Q92485,5
P07585,4
P02763,4
Q13753,3
Q13751,2
Q66K79,2
Q92854,26
Q93033,6
P13598,23
P38570,1
P17813,8
P19320,10
Q92692,8
Q9NQS3,19
P15509,4
P10721,1
P42702,10
P20701,8
P11215,6
P20702,6
P19438,2
P14778,4
P27930,8
P14784,2
P26951,5
P24394,7
Q01344,1
P16871,8
P15144,20
P32927,3
P31785,14
O43490,6
P36888,1
Q07011,2
P08571,2
P16234,8
P09619,8
P12821,10
P33151,4
P43121,26
Q13291,12
P29965,2
P78325,3
Q10588,4
P43628,1
P43629,1
Q8N109,1
Q14954,1
P43632,1
O95971,2
Q14242,4
Q86VB7,1
Q04900,4
Q16832,8
Q9BZZ2,2
P08637,3
O75015,2
O15389,7
P78324,33
O00241,10
Q9P1W8,2
P05107,20
Q99467,4
P25024,1
P49682,3
P32302,5
P15391,8
P51679,5
P32248,9
P29016,1
P29017,3
P15813,1
P06729,5
P11836,5
P41217,17
Q02763,4
P22897,1
P20023,7
P78552,5
Q14627,5
P20273,9
P06213,28
Q15762,5
Q9HBG7,9
P06734,10
O60486,14
P08183,8
Q9BZW8,6
P01589,2
P27487,22
Q9Y6Q6,5
Q02223,6
P26842,7
Q7Z6A9,4
Q9BQ51,9
Q15116,5
P10747,4
Q9UBG0,28
Q15399,1
O60603,7
O00206,5
Q9NR96,2
Q9Y5Y4,4
P48357,3
P28908,11
Q8IX05,6
Q6GTX8,11
Q96RD9,2
Q9NQ25,5
P12318,2
P31994,1
P57087,23
O43699,3
Q9Y286,2
P20138,5
P11362,17
P21802,3
P22607,2
P22455,3
O14931,1
P78504,19
P28906,3
Q9ULV1,1
P17927,5
P04234,2
P09693,1
P01730,3
P08514,3
P40197,3
P08575,19
P13612,30
P06127,5
P32942,17
P13591,27
P30203,5
P05106,10
P14151,9
P16109,2
P12314,2
P13688,10
P31997,1
P40199,1
P34810,3
P09564,7
P04233,18
P11912,8
P40259,7
P33681,11
Q9UIB8,10
O75019,1
Q8NHL6,8
P42081,12
P24071,2
P04216,25
Q07954,28
P40200,9
Q13651,5
Q9BY67,32
Q13308,32
Q6PCB8,30
P04264,30
Q8N441,26
Q9UHW9,24
P54289,23
P20036,23
P14384,22
P23470,21
P04222,21
P48551,21
Q14517,21
Q6UVK1,21
Q9UN70,21
P01892,21
Q13332,20
P22413,20
P19634,20
Q5VW38,20
P55290,19
P21796,19
P25116,19
O60245,19
P30464,19
P28827,18
Q6H3X3,18
P01903,18
Q13586,18
Q12884,18
P04440,18
Q9BXP2,18
O43556,17
Q9BX74,17
Q96J42,17
Q06418,17
P33527,16
P78357,16
Q9Y487,16
Q13449,16
Q92823,16
O95196,15
Q5VUB5,15
P06733,14
Q16585,14
Q9BX67,14
Q68D85,14
Q9HC56,14
Q9C0C4,14
Q7Z5N4,14
Q9NT68,13
O00592,13
Q9H8M5,13
P04839,13
P98172,13
P21731,13
P01912,12
Q92673,12
Q96K49,12
Q9P0K1,12
Q9H2A7,12
Q9NT99,12
Q3ZCQ3,12
P55285,11
P01871,11
Q6UW56,11
Q12866,11
Q9BRN9,11
Q86SJ2,11
P05538,11
Q9UN71,11
P05534,11
P56159,10
P01920,10
Q12891,10
O95977,10
Q6V0I7,10
Q9UHP7,10
P26012,10
Q9Y6N7,10
Q13421,10
Q9H9S5,10
Q96DU3,10
P26010,9
O43155,9
Q13797,9
Q6UWI2,9
Q8TBP5,9
Q13491,9
Q13683,9
O15394,9
Q08174,9
Q58EX2,9
P03989,9
O43570,8
Q7Z4F1,8
Q7Z7M0,8
Q04771,8
P55283,8
P05186,8
Q12860,8
P54762,8
P43116,8
Q14956,8
O94856,8
Q96PE1,8
Q8TD46,8
Q7Z3B1,8
Q8NC42,8
Q86VZ1,8
Q99572,7
Q9UBS9,7
P14415,7
P21453,7
Q99500,7
Q15768,7
P54753,7
Q95460,7
Q9NY47,7
O94911,7
Q8N2Q7,7
O60279,7
Q8NE01,7
Q86WC4,7
P25106,7
Q86WK6,7
Q8WY21,7
Q8TF66,7
Q6ZRP7,7
P79483,7
P30481,7
P13760,7
O75096,6
Q5SZK8,6
Q9Y5G4,6
Q8ND94,6
Q9UGH3,6
Q9Y2I2,6
Q9BRK3,6
P30542,6
P51693,6
P52798,6
P29320,6
Q95IE3,6
Q9ULL4,6
Q92629,6
Q9NZ53,6
Q9H7M9,6
Q8IWB1,6
Q9BSA4,6
O95185,6
P30685,6
Q01650,5
P13762,5
Q16620,5
Q9Y219,5
O75051,5
Q9H3S1,5
A8MVW0,5
Q9HCL0,5
Q8IUW5,5
Q8N0Z9,5
P54756,5
P22794,5
P17342,5
P04629,5
Q96G91,5
P25105,5
P23471,5
Q13336,5
Q99835,5
Q96JQ0,5
Q16602,5
Q9HC73,5
Q9H5Y7,5
Q5QGZ9,5
Q8N3J6,5
Q30154,5
Q30134,5
P18465,5
P18462,5
P30479,5
P10321,5
P16444,4
Q16288,4
P34981,4
P22001,4
P55082,4
P32241,4
O95980,4
Q6UXK5,4
Q96GP6,4
Q96P31,4
Q8IW00,4
Q8TDW7,4
Q8NFP4,4
Q9Y6N8,4
P25101,4
P54764,4
P01130,4
Q14982,4
Q16880,4
Q13591,4
O95754,4
O00533,4
Q9UKX5,4
Q9H159,4
Q8NFM7,4
Q9GZU1,4
Q6UWL2,4
Q96PB1,4
Q8IZJ1,4
Q9Y5G3,4
P01911,4
P20039,4
P30443,4
P18464,4
P13747,4
P10319,3
O95866,3
P55287,3
O75487,3
P14222,3
P53708,3
Q13443,3
Q14439,3
Q9ULK0,3
Q8IZY2,3
Q96RD7,3
Q9UNW8,3
Q96AP7,3
Q8J025,3
Q6UXB8,3
P22303,3
P18825,3
P15514,3
P04632,3
P55291,3
P34972,3
P26992,3
P78310,3
P55899,3
Q14392,3
Q30201,3
P25189,3
Q99519,3
P23467,3
Q8IWT1,3
Q03167,3
O75578,3
Q8IZP9,3
Q9NZM1,3
O00398,3
Q9UKJ1,3
Q8NBJ9,3
P51805,3
Q9Y5G0,3
Q9H1C0,3
Q8N0W4,3
Q5VU97,3
Q8N126,3
Q9HBW9,3
Q8N6Y1,3
Q96GX1,3
Q9H156,3
Q96AM1,3
Q8IW52,3
Q495A1,3
Q8IZF2,3
Q5IJ48,3
P01909,3
A6NKC4,3
P04229,3
P30498,3
P30485,3
P98164,2
Q8NFJ5,2
P13637,2
P25929,2
Q8IYL9,2
Q9P244,2
Q8N386,2
Q86T13,2
Q9H6L2,2
Q9NYQ7,2
Q9UNG2,2
Q9UKZ4,2
Q9NRM6,2
Q96QV1,2
Q86XX4,2
Q86YT9,2
Q96BF3,2
Q9UMZ3,2
P07550,2
P50052,2
P35414,2
P55286,2
P47869,2
O00451,2
Q13003,2
P41595,2
P20594,2
P30989,2
P78380,2
Q9P232,2
P23468,2
P07949,2
Q92959,2
P35590,2
P14679,2
P17643,2
O43184,2
Q9UQC9,2
O75121,2
P98153,2
Q96E93,2
Q9HB89,2
Q9Y271,2
Q9UM44,2
Q9NY15,2
A2VDJ0,2
Q9NZU1,2
Q9Y336,2
O14917,2
Q6UWJ1,2
Q9Y5F6,2
Q8TDY8,2
Q96LA5,2
Q9BZM4,2
Q6J4K2,2
Q9BX97,2
Q86VW1,2
Q6ZN44,2
Q96LD1,2
A8MWY0,2
Q6ZQN7,2
Q9Y5F8,2
P30460,2
P30510,2
P13761,2
P30487,2
P30512,2
Q04826,2
Q09160,2
P30508,2
P40126,2
O60330,2
Q95365,2
Q6IEE7,1
P01906,1
Q7L0X0,1
Q9ULB4,1
Q8IYR6,1
Q9UHC6,1
Q9NZR2,1
Q9Y5I1,1
Q9BXA5,1
Q8TAB3,1
Q8NFZ4,1
Q9NTN9,1
Q8NCM8,1
Q9BY15,1
Q86YD3,1
Q9HCM2,1
Q8NFT8,1
Q8IYS5,1
Q9UPZ6,1
A8MVW5,1
Q5TF39,1
P78348,1
P08913,1
P30556,1
Q12864,1
P32297,1
Q99788,1
Q15722,1
P20827,1
P78333,1
P35916,1
P28472,1
P16066,1
P43115,1
P18433,1
P32418,1
P16473,1
O14495,1
Q93038,1
Q9H013,1
Q92956,1
Q96RI0,1
Q9Y5G5,1
O60896,1
Q9H3T3,1
Q9Y666,1
O95183,1
Q8NE79,1
Q9Y6X5,1
Q9NY25,1
Q9C0B5,1
Q9Y561,1
Q9NZ20,1
Q4KMG0,1
Q9NZV1,1
Q9Y5S1,1
Q96F05,1
Q17RY6,1
Q86XS8,1
Q9Y5I2,1
Q9UN73,1
Q9H1E5,1
Q969W9,1
Q12836,1
Q96QU1,1
Q9H3S3,1
Q9BXC1,1
Q96LC7,1
Q96PQ1,1
Q86WI1,1
Q7RTT9,1
Q6UX27,1
Q6ZMJ2,1
Q6DN72,1
Q5VY43,1
Q9P121,1
P30490,1
P30453,1
Q29960,1
P10316,1
P30483,1
P10314,1
Q13705,1
P17948,1
P42262,1
P28221,1
P51172,1
O94933,1
P58743,1
O60939,1
P56749,1
Q13018,1
P10909,32
P43308,29
Q12907,29
P01033,27
Q9UBV2,26
P02751,25
Q7Z7H5,25
Q9ULI3,22
Q8TCT7,22
P07339,21
P11117,21
Q08431,18
Q16363,17
O15321,17
P55058,17
P41221,16
P12111,15
P02452,14
Q11201,14
O00468,14
Q96JJ7,14
P08123,13
P06744,13
Q8WWB7,13
P02790,13
Q969N2,13
P00738,13
Q32P28,13
P35555,13
P01137,13
Q7L0J3,13
Q9Y6C2,13
Q9P0T7,13
Q99715,11
O43567,11
P12110,11
P14672,11
P00734,10
Q96EE4,10
Q15517,10
P07093,10
P43307,10
Q24JP5,10
P0C0L4,9
P05997,9
P20908,9
P55083,9
P21810,9
O75718,9
O95084,9
Q12841,9
Q5JRA6,9
O94813,8
P28799,8
Q05707,8
P28300,8
Q11206,8
Q9H0V9,8
P25391,8
P27169,7
O15455,7
P12109,7
P17936,7
Q92626,7
P48307,7
Q99985,7
Q9Y3B3,7
P02461,6
P13611,6
P02787,6
P02749,6
Q6UVY6,6
P00450,6
Q14766,6
Q9NS62,6
P01023,5
P01857,5
P02671,5
Q15389,5
O75629,5
Q14563,5
P43251,5
P01859,5
Q15438,5
Q9UK23,5
P51884,4
P01024,4
Q9NS15,4
Q9UQV4,4
Q9UKU9,4
Q9UHL4,4
Q8IUX7,4
P53801,4
P08603,4
P01861,4
Q8N6C5,4
P24043,4
Q99988,4
Q9BY76,4
P12814,3
P02765,3
P01042,3
P55268,3
Q14314,3
Q9NRN5,3
P05090,3
P02458,3
P45452,3
O14638,3
P00750,3
Q9Y646,3
P13284,3
Q15063,3
Q13201,3
Q9UBP4,3
Q6UY14,3
Q6UXH1,3
Q6PJF5,3
Q9H741,3
Q8NAU1,3
O60656,3
O43897,3
P02760,2
Q76M96,2
Q9UM22,2
Q14CZ8,2
A8TX70,2
Q9Y6L7,2
Q96GW7,2
Q96RW7,2
Q9BXJ5,2
P01011,2
P08842,2
P06276,2
P20851,2
Q02388,2
P12107,2
P98095,2
O14498,2
P47972,2
P40967,2
P04275,2
O75462,2
Q9Y5X9,2
Q9Y287,2
Q14112,2
Q9NR99,2
Q7Z7G0,2
O60565,2
Q9P2M7,2
Q6P4A8,2
P58166,2
A6NMZ7,2
Q8N3Z0,2
Q8TE58,2
A6NGN9,2
Q8TDJ6,1
Q9UBQ6,1
P49767,1
Q8IUK5,1
Q96JB6,1
Q9UJJ9,1
P04114,1
P54793,1
P23560,1
P13497,1
P10645,1
P00488,1
Q10472,1
P19823,1
P02788,1
Q92832,1
O00634,1
P20774,1
O00300,1
P05120,1
Q99574,1
P51888,1
P13727,1
O00391,1
P22105,1
O96014,1
Q13361,1
O95841,1
Q99784,1
O95158,1
Q9Y2E5,1
P56817,1
P25940,1
Q8TAD2,1
Q9BXN1,1
Q969V3,1
Q6ZMP0,1
Q9BXX0,1
Q96A83,1
Q68BL7,1
Q75V66,1
A6NI73,1
Q7Z4R8,1
P35556,1
Q9H1J7,1
P04003,1
Q12805,1
Q8N4V1,1
P05155,1
Q68BL8,1
P48509,24
P27701,29
Q8IWA5,47
Q9NY35,46
Q9H0X4,46
P43007,43
P30825,43
O60637,40
Q9H813,39
Q15758,38
O60503,37
O76082,36
Q9UHN6,36
P55011,35
P41440,34
Q9NV96,34
P54852,32
Q8NBI5,31
O60779,28
Q6P4E1,26
Q8IWT6,23
Q9P273,23
P48067,21
O95857,21
O96005,20
O43657,20
O43688,17
O60266,16
P54849,16
P48029,15
O95858,13
Q6NSJ0,10
Q6P9F7,9
P43003,8
P51788,7
Q9Y5Y6,5
O60636,3
Q9Y5L3,3
A7MBM2,3
Q69YZ2,3
Q3MIR4,1
Q16563,42
Q14108,34
Q8TCJ2,34
Q96T83,31
P46977,27
Q12797,22
Q96S52,22
P21333,21
Q9NQC3,10
Q09328,10
Q16706,10
Q9NY97,10
Q9GZR5,8
Q8WTR4,7
O75396,6
O60635,1
P26715,1
Q12918,1
P21757,3
Q07075,8
O14836,1
P16671,4
P11049,13
P28907,13
P49961,17
P19397,13
Q07108,9
P32970,22
P21854,5
P49281,32
P50443,27
Q9HDC9,26
O15440,20
O95477,18
Q5KU26,18
Q9H330,17
Q9P2C4,16
Q8N697,16
P19075,14
Q9NUM4,13
P53794,13
Q9NX62,13
Q9NWD8,13
Q99571,12
Q04941,11
Q5T3F8,11
Q9BXS9,11
Q9C0K1,10
P22732,10
Q6N022,10
Q6YBV0,10
Q12767,9
Q96QE2,9
Q9HCM3,8
Q9H2J7,8
Q15413,8
P52569,8
Q68DH5,8
P01908,8
Q68CR1,7
P81408,7
O14524,7
O43462,7
Q5BKX6,7
Q8IZA0,7
Q9H015,7
O14817,6
Q7Z3F1,6
A2RU67,6
Q9BZC7,6
Q92887,6
O75387,6
Q86UF1,6
Q92545,5
P29972,5
O75071,5
Q8TDW0,5
Q96BZ4,5
Q6ZUK4,5
O94886,4
Q13635,4
O15439,4
Q9P1W3,4
A1A5C7,4
Q5SGD2,4
Q7Z388,4
P54851,3
P22314,3
Q14DG7,3
Q9BXT2,3
Q96KA5,3
A6NKL6,3
P51828,3
Q12999,3
Q99250,3
Q9Y6H6,3
P01850,3
P01848,3
Q58DX5,3
Q9Y210,2
Q9NRM0,2
Q8NBW4,2
O43306,2
Q06643,2
P51575,2
Q01118,2
P23975,2
Q9P126,2
Q8NG11,2
Q96SJ8,2
Q8WY22,2
Q7Z7N9,2
P01914,2
Q7Z402,2
O75954,2
Q8N614,2
Q9H1C3,2
Q9UKU6,1
Q9UMX9,1
Q9H2X9,1
Q9H5K3,1
Q8NCS7,1
Q6ZS10,1
Q8IX19,1
Q12809,1
P13866,1
P48066,1
Q16348,1
Q9UN76,1
Q8NC01,1
Q9NZS2,1
Q8NE00,1
Q9H5I5,1
Q96T54,1
Q8IZM9,1
P37059,1
P56180,1
Q9ULH0,1
Q8N468,1
Q8IYP9,1
P04920,1
Q7Z3C6,29
Q8IV08,23
Q9NUN5,22
Q3T906,21
Q9UH99,21
Q93050,18
Q9NRX5,14
O00461,13
Q12770,12
Q8NFQ8,12
Q70UQ0,11
Q9NRB3,11
Q9BU23,11
P10253,10
Q68CP4,10
Q4ZIN3,9
O94901,8
Q96AQ6,8
O60931,7
Q7Z2K6,6
O43909,6
Q9Y6A1,6
Q6AZY7,6
Q8NHS3,5
Q96G23,5
Q75T13,5
Q14643,4
Q9Y2C2,4
Q8WXF7,4
Q8NCW6,4
P49641,4
P09110,3
Q14573,3
Q9NYU2,3
Q8WWZ7,3
Q9UKY4,3
P38435,3
Q9UNW1,3
Q9Y274,3
O95427,3
Q96G97,3
Q8NC56,3
Q9UNP4,2
Q9NQZ7,2
Q9BVX2,2
Q8WVQ1,2
P51690,2
Q13286,2
O75503,2
Q13563,2
Q5H8A4,2
Q3V5L5,2
Q6ZMG9,2
Q8IVB4,2
Q5JTV8,2
Q8IY34,1
Q9NPC4,1
P51797,1
Q99941,1
P09172,1
P28845,1
P17405,1
Q7LGC8,1
Q8IY17,1
Q9H5J4,1
P19440,24
P30414,1
P60709,44
Q9Y4L1,40
P68104,34
P07996,33
P08670,32
P14618,32
P14625,31
Q8NBJ4,31
P10809,29
P07437,27
Q7LGA3,26
P07737,24
O60568,24
P11142,23
Q07020,23
P39023,21
P05387,21
P35579,20
P23284,20
P60174,19
P04062,19
Q9NR09,19
P46776,18
Q00610,18
P08238,18
Q15293,18
O43707,17
Q99623,17
P22695,17
Q00839,15
P45880,15
Q08AG5,15
Q9Y222,14
P02545,14
P13674,14
P62910,13
P14314,12
P61513,12
P27348,11
P49184,9
P68371,8
P84103,7
Q9UKA4,7
P29966,5
Q12931,5
P14649,5
P29692,4
Q9BUF5,4
Q8IWU5,4
Q9UK39,1
A6NGU5,21
Q15165,18
P36269,14
Q68CQ7,9
Q92478,9
Q4G148,8
Q9UJ14,3
Q16853,3
Q9BVA6,1
O60243,1
P04406,28
Q02809,23
Q07343,19
Q96AY3,19
P50454,18
P08236,18
Q9UHG3,18
O00469,17
P62266,13
P12956,13
Q9UQ80,13
P18077,13
P53634,13
Q8NBJ5,13
P46779,12
O00754,12
P42766,12
Q13510,12
Q6PIU2,11
O60512,11
Q6P179,10
O15460,10
P50991,10
P07900,9
P48735,9
P30533,9
O43505,9
P06865,9
Q92791,9
P32969,8
P46778,8
P84098,8
P07711,8
P15586,8
P07602,8
Q9Y644,8
Q9UQ53,8
Q96HE7,8
Q7Z4H8,8
Q8NBK3,8
P62244,7
P62316,7
P48723,7
Q9GZX3,7
P16278,7
Q96RQ1,7
Q9Y680,7
O75477,6
O95302,6
Q8NHP8,6
O14773,6
P38571,6
P54802,6
P35442,6
O94923,6
O14657,6
Q9H173,6
P18621,5
P07686,5
P05164,5
P50897,5
O00567,5
Q9Y2G5,5
Q96AE7,5
Q99538,5
Q9NZ08,5
O76021,4
P08246,4
P37802,4
P01876,4
O14556,4
Q9H1A3,4
Q9Y6N5,4
Q9UMR5,4
Q9NPF2,4
Q9BZQ6,4
P10619,4
Q7Z7M9,4
Q8IWU6,4
P01733,4
Q9P2E5,4
Q86YB8,4
Q15366,3
Q9UKM9,3
A2BFH1,3
Q9NS25,3
Q5NDL2,3
P15848,3
P06280,3
Q15818,3
P35354,3
P04350,3
Q5T4B2,3
Q9H3G5,3
Q9H497,3
P57721,3
Q96A58,2
P49588,2
P17050,2
P68366,2
Q8IYK4,2
Q8N543,2
Q9GZY0,2
P43235,2
O00116,2
O43286,2
Q02083,2
Q9NS84,2
Q96D15,2
Q495W5,2
Q8IW19,2
Q70JA7,2
P26599,2
Q9NWM8,1
Q9NYU1,1
Q96CB8,1
Q8IVL1,1
Q8NDV1,1
A8MYG8,1
P01737,1
P04435,1
P46100,1
P23141,1
O60911,1
O75072,1
P34059,1
P20718,1
O00587,1
P49746,1
Q92187,1
P49915,1
Q6IS24,1
Q9H1Z4,1
Q6Y288,1
Q5D862,1
P11678,1
P55210,1
O75063,1
Q99550,1
Q9Y520,1
Q9Y5P6,1
Q9NQ48,1
Q7Z2W4,1
P04220,1
